NUM;X2;X;Y2;Y;OBJECTID;UNIDADE_ID;CNES;P_OTIMO;P_BOM;P_REGULAR;P_INSUFICIENTE;cod_Bairro;Equipes;Data_Inauguracao;TP_UNIDADE;Flg_UPP;gestao
91;-43.601.312.685.711.700;-43,60131269;-22.923.791.274.348.200;-22,92379127;8978;3,30E+12;2270323;0,25;0,75;0,01;0,01;Inhoaíba;5;1985-11-30T00:00:00.000Z;CMS;Não;descentralizada
93;-43.595.247.539.703.300;-43,59524754;-22.899.220.473.381.300;-22,89922047;8980;3,30E+12;6029922;0,5;0,5;0,01;0,01;Cosmos;3;2011-06-06T00:00:00.000Z;CMS;Não;centralizada
95;-43.267.560.105.304.800;-43,26756011;-22.858.148.552.567.500;-22,85814855;8982;3,30E+12;3784967;0,01;1;0,01;0,01;Ramos;6;2006-02-24T00:00:00.000Z;CMS;Sim;descentralizada
97;-43.328.694.015.465.800;-43,32869402;-22.830.462.382.838.800;-22,83046238;8984;3,30E+12;5879655;0,01;0,01;1;0,01;Irajá;6;2010-10-07T00:00:00.000Z;CMS;Não;centralizada
102;-43.273.727.978.637.600;-43,27372798;-22.906.029.373.927.100;-22,90602937;8989;3,30E+12;6033121;0,01;0,01;1;0,01;Lins de Vasconcelos;1;2008-12-23T00:00:00.000Z;CMS;Não;descentralizada
108;-43.347.606.486.369.000;-43,34760649;-22.965.920.650.977.000;-22,96592065;8995;3,30E+12;3567524;0,01;0,01;1;0,01;;3;1999-07-01T00:00:00.000Z;CMS;Não;descentralizada
111;-43.252.924.665.922.900;-43,25292467;-22.940.216.001.456.900;-22,940216;8998;3,30E+12;2778696;0,01;0,666;0,333;0,01;Tijuca;3;2000-02-02T00:00:00.000Z;CMS;Sim;descentralizada
114;-43.248.774.772.852.700;-43,24877477;-22.936.369.843.177.300;-22,93636984;9001;3,30E+12;5358612;0,01;1;0,01;0,01;Tijuca;1;2002-06-27T00:00:00.000Z;CMS;Sim;descentralizada
116;-43.717.832.985.511.900;-43,71783299;-22.890.155.442.945.000;-22,89015544;9003;3,30E+12;2269929;0,01;0,25;0,75;0,01;Santa Cruz;4;1987-06-13T00:00:00.000Z;CMS;Não;descentralizada
120;-43.171.190.805.284.400;-43,17119081;-22.959.688.962.253.300;-22,95968896;9007;3,30E+12;6632831;0,01;0,01;1;0,01;Leme;2;2010-12-28T00:00:00.000Z;CMS;Sim;centralizada
122;-43.628.389.136.021.100;-43,62838914;-22.873.524.099.553.000;-22,8735241;9009;3,30E+12;2273616;0,01;0,01;1;0,01;Paciência;4;2000-07-31T00:00:00.000Z;CMS;Não;descentralizada
123;-43.392.254.216.234.400;-43,39225422;-22.954.282.101.405.200;-22,9542821;9010;3,30E+12;3567508;0,01;0,666;0,333;0,01;Curicica;4;2001-01-08T00:00:00.000Z;CMS;Não;descentralizada
124;-43.656.651.964.508.000;-43,65665196;-22.913.342.962.247.800;-22,91334296;9011;3,30E+12;2708183;0,01;1;0,01;0,01;Santa Cruz;4;1988-08-05T00:00:00.000Z;CMS;Não;descentralizada
126;-43.245.164.198.417.100;-43,2451642;-22.985.951.172.095.900;-22,98595117;9013;3,30E+12;2270072;0,01;0,5;0,5;0,01;Rocinha;6;2011-01-20T00:00:00.000Z;CMS;Sim;centralizada
128;-43.558.631.356.230.200;-43,55863136;-22.874.968.030.345.700;-22,87496803;9015;3,30E+12;2269546;0,166;0,5;0,333;0,01;Campo Grande;4;1987-06-26T00:00:00.000Z;CMS;Não;descentralizada
130;-43.337.850.699.259.000;-43,3378507;-22.825.727.758.006.300;-22,82572776;9017;3,30E+12;5044685;0,01;1;0,01;0,01;Irajá;7;2010-12-02T00:00:00.000Z;CMS;Não;centralizada
132;-43.625.118.390.941.200;-43,62511839;-22.923.997.400.657.200;-22,9239974;9019;3,30E+12;2273586;0,285;0,428;0,142;0,142;Paciência;7;1988-09-19T00:00:00.000Z;CMS;Não;descentralizada
137;-43.413.982.946.044.300;-43,41398295;-22.831.943.209.007.300;-22,83194321;9024;3,30E+12;2269759;0,5;0,01;0,5;0,01;Parque Anchieta;4;2001-11-30T00:00:00.000Z;CMS;Não;descentralizada
147;-43.303.751.491.852.400;-43,30375149;-22.807.035.133.502.400;-22,80703513;9034;3,30E+12;5457009;0,01;1;0,01;0,01;Vigário Geral;2;2011-07-06T00:00:00.000Z;CMS;Não;centralizada
150;-43.612.380.929.418.600;-43,61238093;-22.914.253.357.843.100;-22,91425336;9037;3,30E+12;3567559;0,666;0,01;0,333;0,01;Cosmos;3;2004-03-20T00:00:00.000Z;CMS;Não;descentralizada
151;-43.187.394.182.062.200;-43,18739418;-22.967.187.230.497.200;-22,96718723;9038;3,30E+12;2280795;0,01;0,01;1;0,01;Copacabana;6;1960-01-01T00:00:00.000Z;CMS;Entorno;descentralizada
152;-43.635.066.037.365.600;-43,63506604;-22.927.299.688.804.000;-22,92729969;9039;3,30E+12;2295237;0,01;0,01;1;0,01;Paciência;3;1981-07-18T00:00:00.000Z;CMS;Não;descentralizada
153;-43.271.529.486.309.900;-43,27152949;-22.822.591.861.245.700;-22,82259186;9040;3,30E+12;3784959;0,01;0,5;0,5;0,01;Penha Circular;2;2010-12-18T00:00:00.000Z;CMS;Não;centralizada
158;-43.242.516.520.865.000;-43,24251652;-22.942.894.849.415.000;-22,94289485;9045;3,30E+12;2280787;0,01;0,01;1;0,01;Tijuca;2;1988-01-15T00:00:00.000Z;CMS;Sim;descentralizada
159;-43.185.516.989.261.700;-43,18551699;-22.786.698.949.376.300;-22,78669895;9046;3,30E+12;2273640;0,01;0,01;1;0,01;;4;;CMS;Não;descentralizada
160;-43.593.073.009.545.700;-43,59307301;-22.992.135.734.315.000;-22,99213573;9047;3,30E+12;2270315;0,01;0,01;1;0,01;Guaratiba;4;2011-08-05T00:00:00.000Z;CMS;Não;centralizada
164;-43.178.706.378.980.700;-43,17870638;-22.926.089.083.582.800;-22,92608908;9051;3,30E+12;2708434;0,01;1;0,01;0,01;Catete;5;1956-06-13T00:00:00.000Z;CMS;Não;descentralizada
170;-43.605.685.932.249.600;-43,60568593;-22.891.453.711.403.600;-22,89145371;9057;3,30E+12;2269562;0,666;0,333;0,01;0,01;;3;1981-08-26T00:00:00.000Z;CMS;Não;descentralizada
175;-43.568.405.658.716.700;-43,56840566;-23.065.903.542.782.400;-23,06590354;9062;3,30E+12;2270307;0,5;0,5;0,01;0,01;Barra de Guaratiba;2;2005-12-05T00:00:00.000Z;CMS;Não;descentralizada
182;-43.461.085.739.075.400;-43,46108574;-22.989.889.376.826.500;-22,98988938;9069;3,30E+12;5465877;0,01;0,5;0,5;0,01;Vargem Pequena;2;2006-07-15T00:00:00.000Z;CMS;Não;descentralizada
184;-43.448.652.463.887.400;-43,44865246;-22.872.925.015.290.600;-22,87292502;9071;3,30E+12;2270455;0,01;1;0,01;0,01;Padre Miguel;5;1981-07-15T00:00:00.000Z;CMS;Não;descentralizada
185;-43.209.580.622.475.000;-43,20958062;-22.794.646.005.703.800;-22,79464601;9072;3,30E+12;5467136;0,01;0,01;1;0,01;;2;;CMS;Não;descentralizada
187;-43.261.226.029.372.100;-43,26122603;-22.915.054.843.960.400;-22,91505484;9074;3,30E+12;3785025;0,01;0,01;1;0,01;Vila Isabel;3;2005-01-28T00:00:00.000Z;CMS;Sim;descentralizada
188;-43.541.474.206.081.800;-43,54147421;-22.854.405.918.043.900;-22,85440592;9075;3,30E+12;2270641;1;0,01;0,01;0,01;Campo Grande;3;1987-10-24T00:00:00.000Z;CMS;Não;descentralizada
189;-43.229.502.629.275.100;-43,22950263;-22.979.699.184.941.400;-22,97969918;9076;3,30E+12;2288370;0,01;0,01;1;0,01;Gávea;2;1976-11-14T00:00:00.000Z;CMS;Não;descentralizada
191;-43.540.721.769.406.100;-43,54072177;-23.007.424.023.558.300;-23,00742402;9078;3,30E+12;2270293;0,25;0,75;0,01;0,01;Campo Grande;4;1981-07-31T00:00:00.000Z;CMS;Não;descentralizada
196;-43.241.344.818.359.500;-43,24134482;-22.857.458.389.627.000;-22,85745839;9083;3,30E+12;5476836;0,01;1;0,01;0,01;Maré;3;2007-08-22T00:00:00.000Z;CMS;Sim;descentralizada
197;-43.420.527.212.238.100;-43,42052721;-22.915.682.567.474.600;-22,91568257;9084;3,30E+12;5465885;0,5;0,5;0,01;0,01;;2;2009-03-02T00:00:00.000Z;CMS;Não;centralizada
198;-43.650.671.745.946.800;-43,65067175;-22.920.472.810.622.600;-22,92047281;9085;3,30E+12;2806320;0,25;0,75;0,01;0,01;Paciência;4;1985-11-01T00:00:00.000Z;CMS;Não;descentralizada
200;-43.347.196.238.058.500;-43,34719624;-22.837.985.046.409.800;-22,83798505;9087;3,30E+12;2269627;0,75;0,01;0,25;0,01;Costa Barros;8;1982-10-16T00:00:00.000Z;CMS;Não;descentralizada
201;-43.241.555.718.084.300;-43,24155572;-22.904.032.097.959.300;-22,9040321;9088;3,30E+12;5598435;0,01;1;0,01;0,01;São Francisco Xavier;3;2011-04-15T00:00:00.000Z;CMS;Entorno;centralizada
203;-43.269.764.478.571.700;-43,26976448;-22.995.351.004.710.500;-22,995351;9090;3,30E+12;3796310;0,01;1;0,01;0,01;São Conrado;1;2001-08-26T00:00:00.000Z;CMS;Não;descentralizada
204;-43.610.729.050.383.700;-43,61072905;-22.910.833.718.581.000;-22,91083372;9091;3,30E+12;5670357;0,01;0,5;0,5;0,01;Cosmos;6;1900-01-01T00:00:00.000Z;CMS;Não;descentralizada
322;-43.251.854.440.836.200;-43,25185444;-22.989.321.005.003.000;-22,98932101;9298; ;6503772;0,01;0,09;0,909;0,01;;;;;;
323;-43.576.415.045.993.400;-43,57641505;-22.946.302.633.628.600;-22,94630263;9338;3,30E+12;5620287;0,01;0,666;0,333;0,01;Guaratiba;5;2011-12-02T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
324;-43.648.395.531.147.500;-43,64839553;-22.975.219.160.055.400;-22,97521916;9339;3,30E+12;3567567;0,01;0,333;0,666;0,01;Pedra de Guaratiba;7;2011-02-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
327;-43.254.066.913.066.700;-43,25406691;-22.900.497.309.278.200;-22,90049731;9342;3,30E+12;6713564;0,166;0,833;0,01;0,01;Riachuelo;6;2011-04-14T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
332;-43.227.138.784.386.900;-43,22713878;-22.811.032.695.989.100;-22,8110327;9347;3,30E+12;6804209;0,4;0,6;0,01;0,01;;6;2011-07-08T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
333;-43.241.926.305.426.700;-43,24192631;-22.865.594.119.326.100;-22,86559412;9348;3,30E+12;6023320;0,01;0,6;0,4;0,01;Ramos;6;2010-12-11T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada
334;-43.268.876.257.251.100;-43,26887626;-22.878.223.863.162.900;-22,87822386;9349;3,30E+12;6820018;0,01;0,4;0,6;0,01;Del Castilho;6;2011-07-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
336;-43.196.366.799.760.400;-43,1963668;-22.981.549.008.790.200;-22,98154901;9351;3,30E+12;6496989;0,01;1;0,01;0,01;Copacabana;3;2009-12-16T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada
339;-43.590.667.084.893.000;-43,59066708;-22.941.686.352.777.800;-22,94168635;9354;3,30E+12;6677711;0,01;0,5;0,5;0,01;Guaratiba;5;2010-11-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
341;-43.584.245.096.881.600;-43,5842451;-22.911.279.494.478.200;-22,91127949;9356;3,30E+12;5154197;0,666;0,333;0,01;0,01;Campo Grande;6;2011-01-07T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
342;-43.675.229.849.323.300;-43,67522985;-22.919.814.052.282.100;-22,91981405;9357;3,30E+12;6660185;0,666;0,333;0,01;0,01;Santa Cruz;5;2010-11-23T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
343;-43.242.956.016.954.700;-43,24295602;-22.901.362.406.857.400;-22,90136241;9358;3,30E+12;6023975;0,01;0,4;0,8;0,01;São Francisco Xavier;5;2010-02-05T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
344;-43.261.343.080.969.200;-43,26134308;-22.903.396.226.096.600;-22,90339623;9359;3,30E+12;6762042;0,2;0,6;0,2;0,01;Sampaio;5;2011-06-02T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
345;-43.655.605.621.052.800;-43,65560562;-22.931.525.276.377.200;-22,93152528;9360;3,30E+12;6671020;0,01;1;0,01;0,01;Santa Cruz;7;2010-12-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
346;-43.287.616.465.314.300;-43,28761647;-22.881.508.149.856.500;-22,88150815;9361;3,30E+12;6742130;0,01;0,4;0,6;0,01;Pilares;5;2011-03-31T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
347;-43.377.126.040.442.200;-43,37712604;-22.813.429.593.263.400;-22,81342959;9362;3,30E+12;6793231;0,01;0,5;0,5;0,01;Pavuna;5;2011-07-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
349;-43.278.911.686.159.300;-43,27891169;-22.842.668.937.195.700;-22,84266894;9364;3,30E+12;6664075;0,01;0,727;0,272;0,01;Penha;13;2010-12-10T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
350;-43.457.052.130.199.700;-43,45705213;-22.867.944.235.706.500;-22,86794424;9365;3,30E+12;6023916;0,01;0,666;0,333;0,01;Bangu;6;2011-02-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
351;-43.660.137.765.199.300;-43,66013777;-22.984.212.096.331.200;-22,9842121;9366;3,30E+12;6648371;0,25;0,75;0,01;0,01;Guaratiba;4;2010-10-24T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
352;-43.282.095.410.998.300;-43,28209541;-22.823.080.520.395.200;-22,82308052;9367;3,30E+12;6664040;0,01;0,01;1;0,01;Penha;6;2011-12-01T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
353;-43.628.940.705.937.000;-43,62894071;-22.918.146.146.018.400;-22,91814615;9368;3,30E+12;6618863;0,333;0,666;0,01;0,01;Paciência;3;2010-08-22T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
354;-43.305.884.086.045.700;-43,30588409;-22.863.592.031.113.400;-22,86359203;9369;3,30E+12;6681379;0,01;0,4;0,6;0,01;;5;2011-01-11T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
355;-43.644.651.830.143.100;-43,64465183;-22.921.488.007.753.800;-22,92148801;9370;3,30E+12;6559727;0,6;0,4;0,01;0,01;Santa Cruz;5;2010-06-13T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
356;-43.263.922.643.374.300;-43,26392264;-22.899.299.670.721.000;-22,89929967;9371;3,30E+12;6688152;0,5;0,5;0,01;0,01;Sampaio;4;2011-01-26T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
357;-43.640.070.439.268.100;-43,64007044;-22.883.498.520.068.800;-22,88349852;9372;3,30E+12;6618871;0,01;0,8;0,2;0,01;Santa Cruz;6;2010-09-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
359;-43.687.030.378.399.200;-43,68703038;-22.938.765.595.424.000;-22,9387656;9374;3,30E+12;6581994;0,01;0,01;1;0,01;Santa Cruz;7;2010-08-08T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
360;-43.609.246.563.404.800;-43,60924656;-22.956.905.960.190.200;-22,95690596;9375;3,30E+12;6635709;0,2;0,8;0,01;0,01;Guaratiba;5;2010-09-19T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
361;-43.371.767.318.066.000;-43,37176732;-22.848.919.954.284.100;-22,84891995;9376;3,30E+12;6571956;1;0,01;0,01;0,01;Guadalupe;4;2011-06-10T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
364;-43.642.770.278.036.300;-43,64277028;-22.917.912.719.993.200;-22,91791272;9379;3,30E+12;6572014;0,333;0,666;0,01;0,01;Santa Cruz;4;2010-07-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
367;-43.347.945.866.581.600;-43,34794587;-22.825.629.537.914.200;-22,82562954;9382;3,30E+12;6029965;0,01;0,25;0,75;0,01;Acari;7;2011-07-15T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
370;-43.191.472.926.651.600;-43,19147293;-22.796.771.926.490.000;-22,79677193;9385;3,30E+12;6568491;0,01;1;0,01;0,01;;6;2011-05-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
372;-43.432.254.426.409.800;-43,43225443;-22.992.963.561.902.300;-22,99296356;9387;3,30E+12;6716598;0,333;0,666;0,01;0,01;Vargem Pequena;3;2011-02-23T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
374;-43.446.770.291.776.100;-43,44677029;-22.888.463.212.866.300;-22,88846321;9389;3,30E+12;6387152;0,01;0,142;0,857;0,01;Padre Miguel;7;2009-11-14T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
378;-43.252.672.821.094.000;-43,25267282;-22.993.221.236.618.500;-22,99322124;9393;3,30E+12;6506232;0,125;0,375;0,5;0,01;São Conrado;8;2010-03-08T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
380;-43.267.806.364.339.600;-43,26780636;-22.860.504.092.396.400;-22,86050409;9395;3,30E+12;6524486;0,01;1;0,01;0,01;Ramos;4;2010-04-06T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada
381;-43.609.793.325.622.300;-43,60979333;-22.891.635.309.497.400;-22,89163531;9396;3,30E+12;6029841;0,166;0,833;0,01;0,01;Cosmos;6;2011-02-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
383;-43.652.158.441.635.500;-43,65215844;-22.927.453.270.938.200;-22,92745327;9398;3,30E+12;6683851;0,01;1;0,01;0,01;Santa Cruz;3;2011-02-01T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
384;-43.192.496.575.375.000;-43,19249658;-22.950.039.507.039.800;-22,95003951;9399;3,30E+12;6272053;0,333;0,666;0,01;0,01;Botafogo;3;2009-02-03T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada
385;-43.694.165.084.520.500;-43,69416508;-22.918.682.414.199.900;-22,91868241;9400;3,30E+12;6618855;0,166;0,833;0,01;0,01;Santa Cruz;6;2010-08-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
390;-43.705.225.110.225.900;-43,70522511;-22.961.408.647.532.900;-22,96140865;9405;3,30E+12;3785009;0,01;0,75;0,25;0,01;Sepetiba;4;2010-07-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada
391;-43.251.123.170.421.600;-43,25112317;-22.885.788.117.923.800;-22,88578812;9406;3,30E+12;6514022;0,01;1;0,01;0,01;Manguinhos;6;2010-04-13T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada
393;-43.268.527.223.791.800;-43,26852722;-22.864.789.081.400.800;-22,86478908;9408;3,30E+12;3784975;0,01;0,7;0,3;0,01;Ramos;12;2010-04-06T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada
